date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:32	410618/410618	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/homeadd2.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/homeadd2.jpg	(from https://www.250-mercer.ltd/)
12:02:34	38330/38330	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/responsible_investing_graphic.png	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/responsible_investing_graphic.png	(from https://www.250-mercer.ltd/)
12:02:35	142470/142470	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/homeadd1.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/homeadd1.jpg	(from https://www.250-mercer.ltd/)
12:02:37	58072/58072	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/home-add1.jpg	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/home-add1.jpg	(from https://www.250-mercer.ltd/)
12:02:37	279497/279497	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/opptimize.png	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/opptimize.png	(from https://www.250-mercer.ltd/)
12:02:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Sep%202023%2011:02:37%20GMT	https://www.250-mercer.ltd/files/intro-thumbnail.png	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/intro-thumbnail.1e.delayed	(from https://www.250-mercer.ltd/)
12:02:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Sep%202023%2011:02:37%20GMT	https://www.250-mercer.ltd/files/intro.mp4	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/intro.mp4	(from https://www.250-mercer.ltd/)
12:02:38	12799/12799	---M--	200	added ('OK')	text/javascript	etag:%222d8ba1192654fb1c083f3d5eb895ba67%22	https://s3.tradingview.com/external-embedding/embed-widget-timeline.js	C:/My%20Web%20Sites/realestate/s3.tradingview.com/external-embedding/embed-widget-timeline.js	(from https://www.250-mercer.ltd/)
12:02:40	89476/89476	---M--	200	added ('OK')	application/javascript	date:Thu,%2016%20Sep%202021%2020:11:44%20GMT	https://www.250-mercer.ltd/files/jquery-3.5.1.min.dc5e7f18c8bf79.js	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/files/jquery-3.5.1.min.dc5e7f18c8bf79.js	(from https://www.250-mercer.ltd/)
12:02:44	100125/100125	---MC-	200	added ('OK')	text/html	date:Wed,%2013%20Sep%202023%2011:02:40%20GMT	https://www.250-mercer.ltd/?a=cust&page=contact	C:/My%20Web%20Sites/realestate/www.250-mercer.ltd/index8552.html	(from https://www.250-mercer.ltd/)
